@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric

@data
0,876.985779,4,0
0,980.499878,5,0
0,1074.08374,6,0
0,1160.143066,7,0
1,876.985779,4,0
1,980.499878,5,0
1,1074.08374,6,0
1,1160.143066,7,0
2,876.985779,4,0
2,980.499878,5,0
2,1074.08374,6,0
2,1160.143066,7,0
3,876.985779,4,0.003448
3,980.499878,5,0.003906
3,1074.08374,6,0.004089
3,1160.143066,7,0.004608
4,876.985779,4,0.003387
4,980.499878,5,0.003845
4,1074.08374,6,0.004028
4,1160.143066,7,0.004333
5,876.985779,4,0.003479
5,980.499878,5,0.003754
5,1074.08374,6,0.004089
5,1160.143066,7,0.004395
6,876.985779,4,0.003387
6,980.499878,5,0.003723
6,1074.08374,6,0.00412
6,1160.143066,7,0.004333
7,876.985779,4,0.005859
7,980.499878,5,0.006439
7,1074.08374,6,0.006744
7,1160.143066,7,0.006866
8,876.985779,4,0.00708
8,980.499878,5,0.007446
8,1074.08374,6,0.008484
8,1160.143066,7,0.008911
9,876.985779,4,0.007019
9,980.499878,5,0.007446
9,1074.08374,6,0.008667
9,1160.143066,7,0.008789
10,876.985779,4,0.007263
10,980.499878,5,0.007751
10,1074.08374,6,0.008118
10,1160.143066,7,0.008667
11,876.985779,4,0.007935
11,980.499878,5,0.008545
11,1074.08374,6,0.009155
11,1160.143066,7,0.009521
12,876.985779,4,0.010406
12,980.499878,5,0.011444
12,1074.08374,6,0.011932
12,1160.143066,7,0.012238
13,876.985779,4,0.010254
13,980.499878,5,0.011353
13,1074.08374,6,0.012177
13,1160.143066,7,0.013733
14,876.985779,4,0.010162
14,980.499878,5,0.012085
14,1074.08374,6,0.012543
14,1160.143066,7,0.013275
15,876.985779,4,0.010162
15,980.499878,5,0.011627
15,1074.08374,6,0.01236
15,1160.143066,7,0.013916
16,876.985779,4,0.012177
16,980.499878,5,0.013275
16,1074.08374,6,0.014099
16,1160.143066,7,0.014832
17,876.985779,4,0.01355
17,980.499878,5,0.015137
17,1074.08374,6,0.016052
17,1160.143066,7,0.016785
18,876.985779,4,0.013672
18,980.499878,5,0.015381
18,1074.08374,6,0.017212
18,1160.143066,7,0.018066
19,876.985779,4,0.013672
19,980.499878,5,0.015015
19,1074.08374,6,0.016235
19,1160.143066,7,0.018311
20,876.985779,4,0.014771
20,980.499878,5,0.016724
20,1074.08374,6,0.01709
20,1160.143066,7,0.019531
21,876.985779,4,0.016266
